"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"5bb3ae32da3c38c71367bd9d","X70","Hinduism","Organizations whose members are followers of the religious philosophy that originated on the Indian subcontinent and is marked by an outlook that tends to view all forms and theories as aspects of one eternal being and truth; a belief in ahimsa, karma, dharma, samsara and moksha; and the practice of the way of works, the way of knowledge or the way of devotion as the means of release from the round of rebirths.","","Ashram","","","","","","","","","5bc787dbda3c38f0620b0250"
"","","","","","Hindu Spiritual Retreats","","","","","","","","",""
"","","","","","Hinduism","","","","","","","","",""
"","","","","","Pilgrimages - Hinduism","","","","","","","","",""
"","","","","","Vedic","","","","","","","","",""
"5bb3ae32da3c38c71367bd9e","X90","Interfaith Coalitions","Organizations representing multiple faiths that have gathered together to establish a worldwide Christian (or other religious) unity; to promote cooperation on such common tasks as supporting missions, working with students and sponsoring conferences; to establish mutual understanding regarding the fundamental issues of belief, worship and polity; and to serve as a united witness on world problems.","","Ecumenical","","","","","","","","","5bc787dbda3c38f0620b0250"
"","","","","","Interdenominational","","","","","","","","",""
"","","","","","Jewish-Christian Relations","","","","","","","","",""
"","","","","","National Conference of Christians and Jews","","","","","","","","",""
"5bb3ae32da3c38c71367bd9f","L42","Cooling Center","A cooling center is a air-conditioned public space set up by local authorities to temporarily deal with the health effects of a heat wave. Cooling centers are meant to prevent hyperthermia caused by heat, humidity, and poor air quality. Cooling centers provide shade, water, and restrooms; medical attention and referrals to social services may also be offered. Their services are aimed at the homeless, at-risk populations such as the elderly, and those without air conditioning.","","Cooling Centers","","","","","","","","","5bb3ae2dda3c38c71367bd3e"
"","","","","","Cooling Site","","","","","","","","",""
"","","","","","Cooling Sites","","","","","","","","",""
"5bb3ae32da3c38c71367bda0","E39","Dental Services","Organizations dedicated to the study, diagnosis, prevention, and treatment of diseases, disorders and conditions of the oral cavity, commonly in the dentition but also the oral mucosa, and of adjacent and related structures and tissues, particularly in the maxillofacial (jaw and facial) area.","","Dental Clinics","","","","","","","","","5bb3ae28da3c38c71367bcdd"
"","","","","","Dental Care","","","","","","","","",""
"","","","","","Mobile Dental Care","","","","","","","","",""
"","","","","","Oral Health","","","","","","","","",""
"5bb4ce6dda3c38c9a74a1c6f","F39","Mental Health First Aid Training","Mental health first aid is a training program that teaches members of the public how to help a person developing a mental health problem (including a substance use problem), experiencing a worsening of an existing mental health problem, or in a mental health crisis. Like traditional first aid, Mental Health First Aid does not teach people to treat or diagnose mental health or substance use conditions. Instead, the training teaches people how to offer initial support until appropriate professional help is received or until the crisis resolves.","","","","","","","","","","","5bb3ae29da3c38c71367bcf1"
"5bc787d9da3c38f0620b0240","B","Education","Organizations dedicated to the act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of preparing oneself or others intellectually for mature life.","","","5bb3ae25da3c38c71367bcc4","5bb3ae27da3c38c71367bcca","5bb3ae27da3c38c71367bccb","5bb3ae27da3c38c71367bccf","5bb3ae27da3c38c71367bcd0","5bb3ae27da3c38c71367bcd1","5bb3ae27da3c38c71367bcd2","",""
"5bc787d9da3c38f0620b0241","C","Environment","Organizations whose primary purpose is to preserve, protect and improve the environment. Includes: Organizations that are involved in pollution control and abatement; conservation and development of natural resources; control or elimination of hazardous or toxic substances including pesticides; solid waste management; urban beautification and open spaces development; environmental education and outdoor survival; and botanical gardens and horticultural societies.","","","5bb3ae27da3c38c71367bcd6","5bb3ae27da3c38c71367bcd7","","","","","","",""
"5bc787d9da3c38f0620b0242","D","Animal-Related","Organizations whose primary purpose is to provide for the care, protection and control of wildlife and domestic animals that are a part of the living environment; to help people develop an understanding of their pets; and to train animals for purposes of showing. Includes: Organizations that develop and maintain fisheries resources and wildlife habitats to preserve and protect endangered species and other wildlife; humane societies; veterinary services; aquariums; and zoos.","","","5bb3ae27da3c38c71367bcd8","","","","","","","",""
"5bc787d9da3c38f0620b0243","E","Health Care","Organizations dedicated to the maintenance or restoration of the health of the body or mind.","","","5bb3ae27da3c38c71367bcd9","5bb3ae28da3c38c71367bcdd","5bb3ae28da3c38c71367bce0","5bb3ae28da3c38c71367bce2","5bb3ae28da3c38c71367bce3","5bb3ae28da3c38c71367bce7","5bb3ae28da3c38c71367bce8","5bb3ae28da3c38c71367bcea",""
"5bc787d9da3c38f0620b0244","F","Mental Health & Crisis Intervention","Organizations dedicated to the psychological well-being and satisfactory adjustment to society and to the ordinary demands of life.","","","5bb3ae28da3c38c71367bcee","5bb3ae29da3c38c71367bcf1","5bb3ae29da3c38c71367bcf5","5bb3ae29da3c38c71367bcf7","5bb3ae29da3c38c71367bcfb","5bb3ae29da3c38c71367bcfc","5bb3ae29da3c38c71367bcfd","5bb3ae29da3c38c71367bcfe",""
"5bc787d9da3c38f0620b0245","G","Voluntary Health Associations & Medical Disciplines","Also known as patient advocacy organizations, VHAs are composed of individuals, both lay and professional, voluntarily and democratically organized. Their mission is to combat a particular disease, disability, or group of diseases and disabilities, or to improve and protect the health of a particular group of people.","","","5bb3ae29da3c38c71367bcff","5bb3ae29da3c38c71367bd01","5bb3ae29da3c38c71367bd03","5bb3ae2ada3c38c71367bd09","5bb3ae2ada3c38c71367bd0c","5bb3ae2ada3c38c71367bd0e","5bb3ae2ada3c38c71367bd0f","5bb3ae2ada3c38c71367bd13",""
"5bc787dada3c38f0620b0246","I","Crime & Legal-Related","Organizations dedicated to addressing actions or omissions that constitute an offense that may be prosecuted by the state and may be punishable by law.","","","5bb3ae2bda3c38c71367bd1a","5bb3ae2bda3c38c71367bd1c","5bb3ae2cda3c38c71367bd1e","5bb3ae2cda3c38c71367bd21","5bb3ae2cda3c38c71367bd23","5bb3ae2cda3c38c71367bd24","5bb3ae2cda3c38c71367bd28","5bb3ae2cda3c38c71367bd2a",""
"5bc787dada3c38f0620b0247","J","Employment","Organizations dedicated to helping people prepare for, find, secure, retain, or receive fair remuneration for safe, suitable employment.","","","5bb3ae2cda3c38c71367bd2b","5bb3ae2cda3c38c71367bd2e","","","","","","",""
"5bc787dada3c38f0620b0248","K","Food, Agriculture & Nutrition","Organizations that focus on the development, improvement, or distribution of food resources.","","","5bb3ae2cda3c38c71367bd31","5bb3ae2dda3c38c71367bd36","5bb3ae2dda3c38c71367bd37","","","","","",""
"5bc787dada3c38f0620b0249","L","Housing & Shelter","Organizations that help people develop, construct, manage, or secure temporary or permanent housing. ","","","5bb3ae2dda3c38c71367bd38","5bb3ae2dda3c38c71367bd3d","5bb3ae2dda3c38c71367bd3e","5bb3ae2dda3c38c71367bd40","","","","",""
"5bc787dada3c38f0620b024a","M","Public Safety, Disaster Preparedness & Relief","Organizations dedicated to the process of preparing for or responding to man-made and natural disasters.","","","5bb3ae2dda3c38c71367bd43","","","","","","","",""
"5bc787dada3c38f0620b024b","N","Recreation & Sports","Organizations dedicated to the refreshment of strength and spirits through organized and unorganized play.","","","5bb3ae2eda3c38c71367bd46","5bb3ae2eda3c38c71367bd47","","","","","","",""
"5bc787dada3c38f0620b024c","O","Youth Development","Organizations dedicated to the preparation of young people to meed the challenges of adolescence and adulthood and achieve their full potential.","","","5bb3ae2eda3c38c71367bd4a","5bb3ae2eda3c38c71367bd4d","5bb3ae2eda3c38c71367bd4f","5bb3ae2eda3c38c71367bd53","5bb3ae2eda3c38c71367bd59","","","",""
"5bc787dada3c38f0620b024d","P","Human Services","Organizations dedicated to meeting basic health, welfare, and other needs of a society or group.","","","5bb3ae2fda3c38c71367bd5a","5bb3ae2fda3c38c71367bd62","5bb3ae2fda3c38c71367bd66","5bb3ae2fda3c38c71367bd6d","5bb3ae30da3c38c71367bd71","5bb3ae30da3c38c71367bd74","5bb3ae30da3c38c71367bd79","5bb3ae31da3c38c71367bd81",""
